op_id,Stage1,Stage2,Stage3,Stage4,Stage5,Stage6,StageW,StageR1,StageR2,StageR3,StageR,RTT
72057594037936799,1266,2726,300,11980,4224,4284,24780,5904,3000,36,8940,15840
72057594037936921,1268,10936,136,12268,4096,4400,33104,15288,3046,36,18370,14734
72057594037936931,1270,3108,106,10734,3900,4308,23426,4242,2894,36,7172,16254
72057594037936969,1256,2682,278,10976,4198,4386,23776,5426,3058,36,8520,15256
72057594037937195,1266,2762,240,11760,4212,4472,24712,5814,3048,34,8896,15816
72057594037937445,1250,2528,320,10866,3772,5340,24076,5614,3336,38,8988,15088
72057594037937446,1262,2534,140,10430,3760,4408,22534,4380,3008,36,7424,15110
72057594037937491,1270,2518,180,13478,3976,4338,25760,11306,3114,36,14456,11304
72057594037937498,1250,2586,296,13470,4106,4416,26124,5554,3162,42,8758,17366
72057594037937741,1252,2550,306,10464,3760,4498,22830,5558,3108,36,8702,14128
72057594037937878,1254,2572,298,10546,3804,4390,22864,5778,2792,36,8606,14258
72057594037937998,1262,2526,328,11738,3822,4442,24118,5890,2948,36,8874,15244
72057594037938004,1246,2532,584,11816,3880,4522,24580,5992,3236,36,9264,15316
72057594037938005,1252,2586,176,10582,3822,4344,22762,5720,3042,38,8800,13962
72057594037938415,1256,2528,164,10352,4012,4406,22718,5694,3074,34,8802,13916
72057594037938563,1264,2742,342,10640,4228,4370,23586,5360,3030,36,8426,15160
72057594037938785,1260,2668,170,12050,3988,4456,24592,5414,2938,36,8388,16204
72057594037938941,1278,2598,272,10714,4124,4920,23906,5548,2942,38,8528,15378
72057594037939197,1262,2610,332,10488,4090,4394,23176,6094,2882,34,9010,14166
