op_id,Stage1,Stage2,Stage3,Stage4,Stage5,Stage6,StageW,StageR1,StageR2,StageR3,StageR,RTT
72057594037928730,1772,3488,260,500232,2802,7952,516506,7028,1288,38,8354,508152
72057594037929142,1180,2350,294,465308,2708,7178,479018,7204,2880,36,10120,468898
72057594037928327,1068,2440,176,466110,2676,19440,491910,7876,1272,36,9184,482726
72057594037928906,1164,2292,172,469214,2526,6934,482302,7170,1434,42,8646,473656
72057594037928976,1090,2692,328,472002,2816,8556,487484,7200,1428,38,8666,478818
72057594037929009,1306,3044,316,461006,3018,7818,476508,6964,1310,42,8316,468192
72057594037929035,1148,2280,182,469396,3716,8116,484838,6868,1330,34,8232,476606
72057594037929410,1096,2436,210,454682,3630,7660,469714,5172,1304,40,6516,463198
72057594037927976,1156,2456,326,483314,2792,16850,506894,7692,1410,38,9140,497754
72057594037928122,1122,2470,172,640350,2694,6962,653770,7466,1438,38,8942,644828
72057594037928132,1252,2414,276,633082,3480,7888,648392,7658,1494,36,9188,639204
72057594037928208,1176,12590,78,468162,2664,7554,492224,7220,1424,40,8684,483540
72057594037928257,1224,2620,254,457900,4246,7036,473280,7048,1342,38,8428,464852
72057594037928291,1144,2456,258,468976,3544,8048,484426,7036,1448,40,8524,475902
72057594037928438,1120,2474,146,464160,2744,7262,477906,6856,1750,38,8644,469262
72057594037928509,1114,2460,234,487728,2932,7122,501590,7310,1500,42,8852,492738
72057594037928914,1166,2350,284,467336,3574,3992,478702,7602,1390,38,9030,469672
72057594037928998,1130,2458,124,474142,3640,7960,489454,7822,1472,42,9336,480118
72057594037928121,1120,2434,362,671524,3794,18418,697652,7488,1554,36,9078,688574
72057594037928473,1194,2438,258,462558,2998,7972,477418,6882,1336,38,8256,469162
72057594037928780,1104,2336,132,469844,2646,8166,484228,6952,1376,38,8366,475862
72057594037928885,1104,2392,196,476922,3582,7296,491492,7656,1474,38,9168,482324
72057594037928027,1118,2252,264,643378,2588,8260,657860,7688,1492,36,9216,648644
72057594037928048,1110,2304,332,671100,2548,3842,681236,7724,2138,38,9900,671336
72057594037928762,2252,2330,166,472108,2900,7874,487630,6908,1228,38,8174,479456
72057594037929453,1314,2416,266,474032,3768,8470,490266,5276,1370,36,6682,483584
72057594037928146,1356,2300,124,499762,3582,17670,524794,7608,1590,38,9236,515558
72057594037929226,1104,2322,330,462376,2774,8100,477006,6956,1294,38,8288,468718
72057594037929294,1448,2644,120,475246,2678,7890,490026,5184,1466,38,6688,483338
72057594037929426,1156,2460,278,479504,3658,7284,494340,6540,1482,38,8060,486280
72057594037928111,1092,2354,332,490760,3702,7822,506062,7436,1346,48,8830,497232
72057594037928209,12060,3032,320,470128,3338,7974,496852,7018,1338,40,8396,488456
72057594037928300,1102,2414,76,458814,2710,6790,471906,6868,1310,36,8214,463692
72057594037928325,990,2468,260,486540,4154,7710,502122,7346,1254,38,8638,493484
72057594037928382,2142,2388,326,484366,2648,8850,500720,7624,1650,42,9316,491404
72057594037928721,1090,2400,216,465440,3634,8034,480814,6788,1530,38,8356,472458
72057594037928962,1080,2394,160,464154,2684,7258,477730,7790,1232,38,9060,468670
72057594037928033,1084,2420,264,717538,2914,18666,742886,2730,1938,38,4706,738180
72057594037928205,1078,2528,174,456104,2762,7954,470600,7054,1402,36,8492,462108
